NaN   0.10  0.05  0.025  0.01 
5     0.413 0.522 0.611 0.709
6     0.376 0.476 0.560 0.652
7     0.347 0.441 0.519 0.607 
8     0.324 0.412 0.486 0.569
9     0.305 0.388 0.459 0.538
10    0.289 0.368 0.436 0.512
11    0.275 0.351 0.416 0.489
12    0.264 0.336 0.398 0.468
13    0.253 0.323 0.383 0.451
14    0.244 0.311 0.369 0.435
15    0.235 0.301 0.357 0.420
16    0.228 0.291 0.345 0.407
17    0.221 0.282 0.335 0.395
18    0.215 0.274 0.326 0.384
19    0.209 0.267 0.317 0.374
20    0.204 0.260 0.309 0.365
21    0.199 0.254 0.302 0.356
22    0.194 0.248 0.295 0.348
23    0.190 0.243 0.288 0.341
24    0.186 0.238 0.282 0.334
25    0.182 0.233 0.277 0.327
30    0.17  0.21  0.25  0.30
35    0.15  0.20  0.23  0.28
40    0.14  0.18  0.22  0.26 
45    0.14  0.17  0.21  0.25
50    0.13  0.16  0.20  0.23
